Bm99	3158
Bs46	2580
Bt24	2470
Cb16	1707
Cd04	2749
Cd16	3391
Cd31	2074
Cp36	2589
Cs56	1629
Dn29	2350
Ec03	3644
Ec04	2141
Ec05	1739
Ef01	1939
Ef02	1399
Efs2	98
Em12	2008
Enc3	1387
Fm04	1489
Fp10	1347
Kp01	1464
Kp03	2702
Kp04	2416
Kp05	1639
Ma37	1343
Me99	1352
Nm60	1993
No67	2662
Pa01	1997
Pa03	1519
Pc01	1866
Pc64	1403
Pf13	1856
Pf15	2030
Pf80	2226
Ph43	1269
PhiC31	1109
Pp20	2043
Ps40	1799
Ps45	2287
Rb27	1768
resolvase__tr|A0A024H213|A0A024H213_9MICC	247
resolvase__tr|A0A074LFE7|A0A074LFE7_9BACL	1963
resolvase__tr|A0A081B832|A0A081B832_9HYPH	1130
resolvase__tr|A0A0A7LEJ7|A0A0A7LEJ7_9ARCH	566
resolvase__tr|A0A0C3E4F0|A0A0C3E4F0_9VIBR	1864
resolvase__tr|A0A0D7CET7|A0A0D7CET7_9ACTN	1229
resolvase__tr|A0A0E4H820|A0A0E4H820_9STRE	1233
resolvase__tr|A0A0F0H250|A0A0F0H250_LENAE	1108
resolvase__tr|A0A0J8XWZ6|A0A0J8XWZ6_9GAMM	341
resolvase__tr|A0A0P9DCA8|A0A0P9DCA8_9CHLR	1303
resolvase__tr|A0A0R3QAW0|A0A0R3QAW0_9BILA	1119
resolvase__tr|A0A101UXS2|A0A101UXS2_9ACTN	1450
resolvase__tr|A0A117S1I1|A0A117S1I1_9ACTN	171
resolvase__tr|A0A135P841|A0A135P841_9HYPH	406
resolvase__tr|A0A140DYC4|A0A140DYC4_9FIRM	328
resolvase__tr|A0A151ARG3|A0A151ARG3_9CLOT	1739
resolvase__tr|A0A158CD55|A0A158CD55_9BURK	323
resolvase__tr|A0A1B7HG66|A0A1B7HG66_9ENTR	483
resolvase__tr|A0A1C0ZWQ4|A0A1C0ZWQ4_9BACL	1740
resolvase__tr|A0A1C3N4N4|A0A1C3N4N4_9ACTN	771
resolvase__tr|A0A1C3RLC9|A0A1C3RLC9_9PROT	1271
resolvase__tr|A0A1E1F8U3|A0A1E1F8U3_9SPHN	318
resolvase__tr|A0A1E5L9B1|A0A1E5L9B1_9FIRM	1104
resolvase__tr|A0A1G8KQ90|A0A1G8KQ90_9BACI	232
